000000;--------常用物品------
1;金币
2;元宝
3;公会贡献
4;修为
7;商城积分
8;功勋
9;声望
10;真气
1601;传世英雄积分礼包
1602;传世英雄积分宝箱
11010001;强化石
11020001;灵魄
11030001;战魂炙焰
11040001;觉醒精魂
11050001;武器星石
11050002;衣服星石
11050003;头盔星石
11050004;项链星石
11050005;护腕星石
11050006;戒指星石
12120001;宝石碎片
12130001;觉醒符石
13010001;高级转生丹
13010002;超级转生丹
13020001;羽毛
13030001;羽翼直升丹
13040001;经脉丹
13050001;经脉直升丹
13060001;光环升阶丹
13060002;光环碎片
13070001;光环直升丹
13080001;玩家改名卡
13080002;公会改名卡
13090001;初级召唤令
13090002;中级召唤令
13090003;高级召唤令
13100001;轮回丹
13100002;穿越丹
13110001;高级真气酒
13110002;超级真气酒
13120001;跨服喇叭
13130001;蓝色魔宠丹
13130002;紫色魔宠丹
13130003;橙色魔宠丹
13130004;红色魔宠丹
13140001;魔宠升阶石
13150001;镰之灵
13150002;锤之魂
13150003;斧之魄
17500004;功勋技能书
17510002;寻宝令牌
17520001;低层钥匙
17520002;中层钥匙
17520003;高层钥匙
17520004;精英boss令牌
17520005;装备通行证
17520006;跨服挑战令
17530001;跨服荣耀令
17550001;探秘积分
18010001;冰块
15090010;蓝星
15090011;紫星
15090012;橙星
15090017;红星
000000;--------装备材料------
15010001;红装碎片
15020001;主宰面甲
15020002;主宰吊坠
15020003;主宰腰带
15020004;主宰战靴
15030001;主宰碎片
15030002;主宰晶石
15040001;龙魂碎片
15050001;护盾碎片
15060001;麻痹碎片
15070001;护身碎片
15080001;百战碎片
000000;--------神器材料------
15090001;金鲤化龙
15090002;珈蓝剑鞘
15090003;不破金身
15090004;裂魂魔爪
15090005;天火大剑
15090006;炼狱战斧
15090007;冥皇战刀
15090008;琉璃神剑
15090009;圣火流刃
15090013;陨落大盾
15090014;骑英鞍座
15090015;风魔幻甲
15090016;蚩尤面具
15090018;深海之心
15090019;幽暗长剑
15090020;灭世灾厄
15090021;刑天巨斧
000000;--------角色时装------
15110001;君王之威
15110002;黯月龙神
15110003;激情夏日
15110004;青春如歌
15110005;战无不胜
